id,hops,path_bns,path_display,bottleneck_amt,total_flow,min_year,max_year,loop_id,participant_count,loop_max_govt_share_pct,loop_max_strict_overhead_pct,review_score,review_label,why_flagged
3973,6,"shape: (6,)
Series: '' [str]
[
	""118874080RR0001""
	""895970374RR0001""
	""741413892RR0001""
	""119244101RR0001""
	""131738692RR0001""
	""118974294RR0001""
]",118874080RR0001→895970374RR0001→741413892RR0001→119244101RR0001→131738692RR0001→118974294RR0001→118874080RR0001,9575.00,190905.00,2023,2024,3973,6,8.63,36.69,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4569,6,"shape: (6,)
Series: '' [str]
[
	""118974294RR0001""
	""857949598RR0001""
	""859818908RR0001""
	""817735541RR0001""
	""741413892RR0001""
	""705521300RR0001""
]",118974294RR0001→857949598RR0001→859818908RR0001→817735541RR0001→741413892RR0001→705521300RR0001→118974294RR0001,5000.00,192936.00,2023,2024,4569,6,3.18,44.47,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4669,6,"shape: (6,)
Series: '' [str]
[
	""119216158RR0001""
	""801966334RR0001""
	""845528827RR0001""
	""840593628RR0001""
	""130532443RR0001""
	""896568417RR0001""
]",119216158RR0001→801966334RR0001→845528827RR0001→840593628RR0001→130532443RR0001→896568417RR0001→119216158RR0001,7378.00,202469.00,2023,2024,4669,6,18.93,21.3,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4876,6,"shape: (6,)
Series: '' [str]
[
	""119265437RR0001""
	""854949864RR0001""
	""816106173RR0001""
	""859818908RR0001""
	""772901708RR0001""
	""748023538RR0001""
]",119265437RR0001→854949864RR0001→816106173RR0001→859818908RR0001→772901708RR0001→748023538RR0001→119265437RR0001,6000.00,69319.00,2023,2024,4876,6,41.3,13.96,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
5027,6,"shape: (6,)
Series: '' [str]
[
	""122437072RR0001""
	""859928483RR0001""
	""888702669RR0001""
	""896713500RR0001""
	""890271448RR0001""
	""804213759RR0001""
]",122437072RR0001→859928483RR0001→888702669RR0001→896713500RR0001→890271448RR0001→804213759RR0001→122437072RR0001,5000.00,162903.00,2023,2024,5027,6,5.48,46.54,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
5103,6,"shape: (6,)
Series: '' [str]
[
	""130229750RR0001""
	""896568417RR0001""
	""890599640RR0001""
	""862216165RR0001""
	""833062144RR0001""
	""887483741RR0001""
]",130229750RR0001→896568417RR0001→890599640RR0001→862216165RR0001→833062144RR0001→887483741RR0001→130229750RR0001,10000.00,214305.00,2023,2024,5103,6,15.81,23.52,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
5236,6,"shape: (6,)
Series: '' [str]
[
	""132542705RR0001""
	""896568417RR0001""
	""781903141RR0001""
	""886810191RR0001""
	""892522566RR0001""
	""861881670RR0001""
]",132542705RR0001→896568417RR0001→781903141RR0001→886810191RR0001→892522566RR0001→861881670RR0001→132542705RR0001,5000.00,127547.00,2023,2024,5236,6,4.24,53.99,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
5292,6,"shape: (6,)
Series: '' [str]
[
	""700686314RR0001""
	""735511925RR0001""
	""809326499RR0001""
	""868136896RR0001""
	""734030125RR0001""
	""890241375RR0001""
]",700686314RR0001→735511925RR0001→809326499RR0001→868136896RR0001→734030125RR0001→890241375RR0001→700686314RR0001,10000.00,388925.00,2023,2024,5292,6,,14.9,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, overhead context"
5437,6,"shape: (6,)
Series: '' [str]
[
	""703227322RR0001""
	""783246804RR0001""
	""738887504RR0001""
	""762302131RR0001""
	""854949864RR0001""
	""849057237RR0001""
]",703227322RR0001→783246804RR0001→738887504RR0001→762302131RR0001→854949864RR0001→849057237RR0001→703227322RR0001,5458.00,223891.00,2023,2024,5437,6,,43.03,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, overhead context"
92,2,"shape: (2,)
Series: '' [str]
[
	""107951618RR0060""
	""107951618RR0446""
]",107951618RR0060→107951618RR0446→107951618RR0060,8000.00,35465.00,2020,2021,92,2,43.27,15.98,12.1,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
